# swp_version: 0.1.0
# swp_git_commit: 5bd8c717c95bebc32a1c25562763a2ad57f6c3f4
# swp_git_branch: review-followup
# swp_git_dirty: 83 modified: README.md, configs/passive.yaml, docs/HANDOFF.md, docs/low_snr_extraction_sweep.md, docs/passive_search.md, docs/phantom_parameter_sweep.md, scripts/ablation.py -> scripts/archive/ablation.py, scripts/aperture_trend.py -> scripts/archive/aperture_trend.py, scripts/caenen_analyze.py -> scripts/archive/caenen_analyze.py, scripts/caenen_methods.py -> scripts/archive/caenen_methods.py, ... (+73)
# swp_git_diff_sha256: aea29eae4ecf8823b49ef99d53c5b3a999200a6732f6369114a0bc647cc607e4
# zea_version: 0.1.1
# zea_source: D:/Luuk van Knippenberg/Github/zea
# zea_git_commit: 8c2699fd32b969582049d0f704ac3edb862910be
# zea_git_branch: verasonics-multibuffer-clean
# zea_git_dirty: 
# numpy: 2.5.0
# scipy: 1.18.0
# python: 3.12.13
# host: EEMATLAB-OP02
# created_utc: 2026-09-24T09:51:10+00:00
# keras_backend: torch
# command: invivo_recipe_contrast.py
# config_sha256: 1952ebd3ff4ddf5c18c73ae4bf8ccbfc8d188ee7f241834779391fcc0bf5e10f
dataset,push,recipe,oc_push,oc_nopush,sym_push,sym_nopush,amp_push,amp_nopush,d_oc,log2_amp
iv0804_30V,m0,current,0.8060882694882686,0.538300632566865,0.6928788897908182,0.6063070591344121,5.043220714520299e-06,3.825309154685716e-06,0.2677876369214036,0.3987690170777864
iv0804_30V,m0,f2f_current,0.778756443819921,0.6337476741476238,0.40524123840310794,0.52264047329425,0.0007761196885150255,0.000866154365492417,0.14500876967229726,-0.1583450107493914
iv0804_30V,m0,caenen,0.7454231638201495,0.38587357450345655,0.43011886644889863,0.5008261511139595,0.003204712370927762,0.002701691156108476,0.35954958931669295,0.24633211564175977
iv0804_30V,m0,caenen_dir,0.7122268249563484,0.7771065600015385,0.34467887569220845,0.35333813208181125,0.0014688655986129504,0.001166327900013067,-0.06487973504519018,0.33272895205542274
iv0804_30V,m0,caenen_cont,0.5965912599247507,0.6311808905470438,0.6469699748683193,0.578770646911166,0.0016375506702889884,0.00140916023408851,-0.034589630622293144,0.2167038799942744
iv0804_30V,m0,caenen_cont_gian,0.59874978172068,0.6295258002146669,0.6485371713020333,0.5799350970838919,0.001642310403511162,0.0014079269036655494,-0.030776018493986812,0.22215439375988116
iv0804_30V,m1,current,0.9864711572645889,0.8858781414040388,0.8612866597813005,0.5332458828944647,6.2566375378623e-06,3.2317796917908554e-06,0.10059301586055014,0.953058673738337
iv0804_30V,m1,f2f_current,0.9310747529176543,0.7933120805164874,0.6791812691366373,0.09230963154312641,0.0020220144338654236,0.0026357446766524387,0.1377626724011669,-0.3824173281709865
iv0804_30V,m1,caenen,0.8542826417945177,0.8621777491577955,0.07114700714483228,0.1444242717649913,0.007257315995071512,0.009485906288862563,-0.007895107363277809,-0.38634952748204326
iv0804_30V,m1,caenen_dir,0.8887756902718,0.8523766747959827,0.7548501301219978,0.03398980320469081,0.0031226205073561896,0.004609632534233076,0.036399015475817365,-0.5618944989964496
