# swp_version: 0.1.0
# swp_git_commit: 66505d43cd8eaef3229f4c22e7eb57e8645027fa
# swp_git_branch: main
# swp_git_dirty: 2 modified: scripts/restore_redetected_windows.py, study/logs/restore_redetected_windows.log
# swp_git_diff_sha256: aaec27e3101d8976d7cc0f72bdbe5461ee5a8a3bc208a95fc43773dd5e19584e
# zea_version: 0.1.1
# zea_source: D:/Luuk van Knippenberg/Github/zea
# zea_git_commit: 8c2699fd32b969582049d0f704ac3edb862910be
# zea_git_branch: verasonics-multibuffer-clean
# zea_git_dirty: 
# numpy: 2.5.0
# scipy: 1.18.0
# python: 3.12.13
# host: EEMATLAB-OP02
# created_utc: 2026-09-24T18:25:28+00:00
# keras_backend: 
# command: passive_v2_rerun_summary.py
# config_sha256: f00e3b22ec00653b7ab286a18b6643b3c807c822822e7602ee1da8510ea41aba
subject,folder,window,label,v1_A_disp,v1_A_disp_sem,v1_B_disp_median,v1_B_disp_median_sem,v1_C_vel,v1_C_vel_sem,v2_default,v2_default_sem,v2_unsmoothed,v2_unsmoothed_sem,v2_median,v2_median_sem,hand,n_hand
C000000001,SWE_01_SW_data_21-April-2026_12-12-54,0,MVC,3.955555555555556,0.8394495948044697,2.247474747474748,0.8889273116781851,4.759358288770054,0.6205019664574238,4.759358288770054,0.6251882004963849,4.759358288770054,0.5289504820613237,4.759358288770054,0.586337029952379,,
C000000001,SWE_01_SW_data_21-April-2026_12-12-54,1,AVC,6.846153846153847,0.8828761640130275,2.006764374295378,0.9499305500124976,3.26605504587156,0.77855619562784,1.6527390900649952,0.5851720241244518,1.4048934490923441,0.31430929045711287,1.6527390900649952,0.451017464404225,,
C000000001,SWE_01_SW_data_21-April-2026_12-12-54,2,AK,-1.2714285714285716,0.5369652059441284,-1.7131857555341674,0.5992866324606909,-1.1906354515050168,0.6069400080269599,-1.1906354515050168,0.5315215894214003,-1.033081834010447,0.33146614381063183,-1.033081834010447,0.44114607580472753,,
C000000001,SWE_01_SW_data_21-April-2026_12-12-54,3,MVC,8.768472906403941,0.8665271286395151,2.625368731563422,0.8601582489355082,-20.0,0.7075603062486869,-20.0,0.6554755513924685,-20.0,0.5440048205888951,-20.0,0.6217361004489699,,
C000000002,SWE02_SW_data_28-April-2026_10-09-45,0,MVC,16.48148148148148,0.9022447982051653,-8.018018018018019,0.824435450671433,7.385892116182573,0.7513577241089756,5.615141955835963,0.6939894093697321,5.615141955835963,0.5407226904087734,5.615141955835963,0.6408197948432925,,
C000000002,SWE02_SW_data_28-April-2026_10-09-45,1,AVC,20.0,0.8036173959789327,1.9646799116997795,0.8151325884868427,-20.0,0.7771701511125417,-16.48148148148148,0.6462251582069777,-8.768472906403941,0.4855698287822669,-16.48148148148148,0.5841822151971561,,
C000000002,SWE02_SW_data_28-April-2026_10-09-45,2,other,12.191780821917808,0.5797679699669389,-1.0107893242475867,0.7269692030407143,6.3799283154121875,0.6418773985329559,6.3799283154121875,0.49096612793028815,4.759358288770054,0.24347948522435695,4.759358288770054,0.3556992020173634,,
C000000003,VIS_03_SW_data_16-June-2026_10-09-42,0,MVC,12.191780821917808,0.5548730127931528,1.9646799116997795,0.315716135907619,-6.846153846153847,0.4563294341188879,-20.0,0.23454718799689203,-20.0,0.08794458815139189,-20.0,0.1418441296687477,,
C000000003,VIS_03_SW_data_16-June-2026_10-09-42,1,AVC,4.759358288770054,0.7503781846485109,-2.5538020086083217,0.7679146840578058,7.385892116182573,0.7648448664187351,3.26605504587156,0.5083488600880507,3.26605504587156,0.2885699995215757,3.26605504587156,0.3963916916995858,10.430177552909438,2
C000000003,VIS_03_SW_data_16-June-2026_10-09-42,2,other,-1.363984674329502,0.5684212940459791,-1.0,0.7573153289399187,1.363984674329502,0.38100549703845554,1.7131857555341674,0.17673909880185054,1.7131857555341674,0.061888695671386766,1.7131857555341674,0.08895567117398162,,
C000000003,VIS_03_SW_data_16-June-2026_10-09-42,3,AK,-1.8126272912423627,0.461296487899174,-1.2378303198887344,0.5644669161532782,2.006764374295378,0.20941494979135233,-2.625368731563422,0.16228570987996002,-2.625368731563422,0.0768701705486994,-2.625368731563422,0.09369219297343759,,
C000000004,VIS_4_SW_data_16-June-2026_10-58-59,0,MVC,-5.615141955835963,0.6703604146263834,-2.866344605475041,0.5794769403715089,12.191780821917808,0.6643290219087604,5.615141955835963,0.5972226467150437,4.320388349514563,0.4391715962807602,5.615141955835963,0.5477433390586809,,
C000000004,VIS_4_SW_data_16-June-2026_10-58-59,1,AVC,16.48148148148148,0.8426745142043276,4.320388349514563,0.8854335970865239,2.866344605475041,0.5888948166500143,2.866344605475041,0.31525234215246656,2.866344605475041,0.1176226161500724,2.866344605475041,0.1854173586019165,,
C000000004,VIS_4_SW_data_16-June-2026_10-58-59,2,AK,-2.360742705570292,0.6601677367806971,-1.8126272912423627,0.8079972735766399,1.0,0.6177144874846714,1.0,0.42872433380708835,1.0,0.19256443925641376,1.0,0.29678452373775355,,
C000000005,VIS-005_SW_data_19-June-2026_09-12-20,0,?,1.2889210716871833,0.3102521209262438,1.0107893242475867,0.48278164019043346,-20.0,0.529155560206432,-14.015748031496063,0.34244661429645973,-12.191780821917808,0.21981851147497775,-14.015748031496063,0.2752461796870716,,
C000000005,VIS-005_SW_data_19-June-2026_09-12-20,1,?,-5.297619047619048,0.5427986643675479,-2.0506912442396317,0.5156756468026507,-5.615141955835963,0.46734947541223304,16.48148148148148,0.32898858265310255,-16.48148148148148,0.17198905093349331,16.48148148148148,0.24467789687188285,,
C000000005,VIS-005_SW_data_19-June-2026_09-12-20,2,?,1.2544045102184638,0.883278569457678,1.0,0.8384935160039654,8.018018018018019,0.9233866352469503,4.129930394431555,0.724209362683084,4.129930394431555,0.4174594710996608,4.129930394431555,0.5666060570244725,,
C000000007,VIS-007_SW_data_30-June-2026_11-45-50,0,?,-20.0,0.9401488669659888,-14.015748031496063,0.9437784105566698,4.129930394431555,0.6811110801118256,3.7953091684434974,0.5854307374757024,3.7953091684434974,0.2872828477901037,3.7953091684434974,0.4399243404476627,,
C000000007,VIS-007_SW_data_30-June-2026_11-45-50,1,?,-8.018018018018019,0.9592143471242456,-9.673913043478262,0.9439300784726495,-6.846153846153847,0.8925011299716598,-8.018018018018019,0.728126248144419,-12.191780821917808,0.4270147093759928,-8.018018018018019,0.5606650530356018,,
C000000007,VIS-007_SW_data_30-June-2026_11-45-50,2,?,-20.0,0.892894026807046,20.0,0.9393472142907449,-10.787878787878787,0.6852530328525291,-5.297619047619048,0.31955187773131977,-7.385892116182573,0.1333715176433468,-7.385892116182573,0.20639572667416572,,
C000000007,VIS-007_SW_data_30-June-2026_11-45-50,3,?,-20.0,0.9676439547955045,-14.015748031496063,0.9560661984023467,20.0,0.9714971936149033,20.0,0.9146591877747013,20.0,0.776126063010577,20.0,0.8553360978561441,,
C000000008,VIS-010_SW_data_03-July-2026_10-36-33,0,MVC,-4.320388349514563,0.5146276413602708,10.787878787878787,0.6899588670156471,-2.866344605475041,0.3913796781438142,-3.384030418250951,0.3393216199607691,-3.384030418250951,0.16305103561435183,-3.955555555555556,0.2586969443932187,,
C000000008,VIS-010_SW_data_03-July-2026_10-36-33,1,AVC,3.955555555555556,0.8386399098260325,14.015748031496063,0.8641390811829822,3.26605504587156,0.8357700817960483,3.26605504587156,0.7281912572156386,2.7010622154779975,0.4500556562578714,3.26605504587156,0.6309443630013588,,
C000000008,VIS-010_SW_data_03-July-2026_10-36-33,2,AVC,-8.768472906403941,0.8325571373401955,-2.5538020086083217,0.9043658017234973,20.0,0.4524423899117062,2.625368731563422,0.21924531848533924,2.486033519553073,0.05577160225286091,2.5538020086083217,0.11660943047482426,,
C000000008,VIS-010_SW_data_03-July-2026_10-36-33,3,MVC,1.0,0.5942959325116141,1.2216884008236102,0.9207719481667543,16.48148148148148,0.5399876764726127,8.018018018018019,0.42542289652921306,5.615141955835963,0.2345653295681763,5.615141955835963,0.32616430213695663,,
C000000010,vis-006_SW_data_30-June-2026_09-43-28,0,MVC,7.385892116182573,0.4164249165603377,3.384030418250951,0.41716463779349483,14.015748031496063,0.5730158420230114,14.015748031496063,0.47251667755882876,9.673913043478262,0.3345121785959562,9.673913043478262,0.4060883156875786,,
C000000010,vis-006_SW_data_30-June-2026_09-43-28,1,AVC,2.9568106312292364,0.6665603428609277,1.4483319772172498,0.7224372074950567,5.615141955835963,0.7030089307057019,6.846153846153847,0.39350962294075703,6.846153846153847,0.16283576333303734,6.846153846153847,0.23806989091286185,,
C000000010,vis-006_SW_data_30-June-2026_09-43-28,2,AK,3.5108481262327422,0.4807407441035215,2.247474747474748,0.5078844799630815,20.0,0.48602261881778663,20.0,0.3641367795844612,20.0,0.20325291483702457,20.0,0.2713628759074521,,
C000000011,VIS-11_SW_data_07-July-2026_08-40-05,0,MVC,1.7782217782217782,0.7170660745881221,1.4048934490923441,0.6233417099204102,2.7010622154779975,0.7723181428830654,2.866344605475041,0.7142358362629668,2.625368731563422,0.626834899788886,2.866344605475041,0.6768473690394624,,
C000000011,VIS-11_SW_data_07-July-2026_08-40-05,1,AVC,3.26605504587156,0.9661187340154148,3.384030418250951,0.9788430156828524,5.297619047619048,0.8811217955326879,5.615141955835963,0.8794772841101418,4.759358288770054,0.8008296694525451,5.615141955835963,0.8496067156520094,,
C000000011,VIS-11_SW_data_07-July-2026_08-40-05,2,AK,1.0,0.4075541037380427,1.0,0.5342490630625246,-4.759358288770054,0.5995246462476846,-2.9568106312292364,0.4683130554965717,-2.625368731563422,0.3289035587439594,-2.625368731563422,0.40113256552470206,,
C000000012,VIS-014_SW_data_07-July-2026_11-41-37,0,?,4.129930394431555,0.7946632738966484,1.9646799116997795,0.7128955357986769,5.297619047619048,0.8641057704196697,5.615141955835963,0.692087612332064,6.3799283154121875,0.4235688929389644,6.3799283154121875,0.5734282709010595,,
C000000012,VIS-014_SW_data_07-July-2026_11-41-37,1,?,-2.1445783132530125,0.3467998527899102,-1.7450980392156865,0.4093586790025166,2.1445783132530125,0.3580625685713985,-2.7812500000000004,0.23706646670351506,-2.7812500000000004,0.09515632678919099,-2.7812500000000004,0.15530366104972854,,
C000000012,VIS-014_SW_data_07-July-2026_11-41-37,2,?,-2.247474747474748,0.6088207415287087,-1.056379821958457,0.6448706774941088,1.4710743801652892,0.8160378094112356,1.4710743801652892,0.7354300033044174,1.363984674329502,0.5859759263899366,1.363984674329502,0.6633265128263163,,
C000000012,VIS-014_SW_data_07-July-2026_11-41-37,3,?,5.297619047619048,0.9031685897984691,2.5538020086083217,0.8924054940603313,4.320388349514563,0.9224484305065135,4.320388349514563,0.8900677700359887,4.320388349514563,0.7590415835123646,4.320388349514563,0.8442121446355199,,
C000000013,VIS-016_SW_data_10-July-2026_10-11-11,0,MVC,20.0,0.7152856611861663,-5.615141955835963,0.5727390036849216,7.385892116182573,0.872906631869411,5.973154362416108,0.8343957995682558,5.615141955835963,0.7257880012839567,5.973154362416108,0.799932675708758,,
C000000013,VIS-016_SW_data_10-July-2026_10-11-11,1,AK,-1.3841368584758942,0.7213884947776474,-1.033081834010447,0.7228506041714947,-1.7782217782217782,0.7136967442689021,-3.0531732418524875,0.5029912096491883,-3.0531732418524875,0.24810454923981193,-3.0531732418524875,0.3874250227318631,,
C000000014,VIS-008_SW_data_10-July-2026_08-36-06,0,?,6.846153846153847,0.830324209073653,-7.385892116182573,0.822041796413489,3.955555555555556,0.8912665542997324,3.7953091684434974,0.8643855651165782,3.6475409836065578,0.7989498083170999,3.7953091684434974,0.8430400598352962,,
C000000014,VIS-008_SW_data_10-July-2026_08-36-06,1,?,-1.363984674329502,0.6660884647201207,-1.0,0.6888486889224329,-2.1445783132530125,0.6958469030965687,-1.8483904465212877,0.5833661534998902,-1.494542401343409,0.3448452082906908,-1.6527390900649952,0.48529317576775005,,
C000000014,VIS-008_SW_data_10-July-2026_08-36-06,2,?,-2.0965842167255597,0.853933679830255,-2.1445783132530125,0.8718393574318327,-2.247474747474748,0.7729986855815126,-2.247474747474748,0.7492454312883078,-2.247474747474748,0.6129773222000856,-2.247474747474748,0.7040558700133503,,
C000000014,VIS-008_SW_data_10-July-2026_08-36-06,3,?,4.320388349514563,0.7609653732215657,-3.384030418250951,0.7785793026182593,3.5108481262327422,0.8726415853876915,3.26605504587156,0.8472844275523268,3.1560283687943267,0.7706960408888415,3.26605504587156,0.8275806652685301,,
C000000015,VIS-017_SW_data_10-July-2026_10-53-28,0,MVC,2.1948212083847105,0.6181861134527091,1.0,0.5894303766908233,10.787878787878787,0.7448454902219083,6.3799283154121875,0.6394671404508209,5.014084507042254,0.4957537357733916,6.3799283154121875,0.564227762659972,,
C000000015,VIS-017_SW_data_10-July-2026_10-53-28,1,AK,-1.8126272912423627,0.7012979077805438,20.0,0.6762694503904897,-1.1611219830397914,0.7112398328750287,-1.1062771908017404,0.6089266547392173,-1.0446009389671362,0.3873055671553947,-1.0446009389671362,0.5139627091310004,,
C000000015,VIS-017_SW_data_10-July-2026_10-53-28,2,MVC,1.2059620596205962,0.5910636929046973,1.0807528840315725,0.4913961652428472,3.6475409836065578,0.6607474001738233,3.5108481262327422,0.5190386384105652,2.7010622154779975,0.3425377031952048,3.5108481262327422,0.44599797102107624,,
C000000015,VIS-017_SW_data_10-July-2026_10-53-28,3,AK,-2.1948212083847105,0.7298975201273225,-9.673913043478262,0.7935601137920545,-1.056379821958457,0.7833160281205541,-1.056379821958457,0.5086663062957897,-1.0,0.21159912117864585,-1.0,0.389073476764962,,
C000000016,VIS-015_SW_data_10-July-2026_09-24-32,0,MVC,-1.0,0.49539448828064825,-1.0,0.6548701050154913,-2.006764374295378,0.5697926938113856,-2.006764374295378,0.43486104052637303,-2.006764374295378,0.29340296321332443,-2.006764374295378,0.37782020857812254,,
