# swp_version: 0.1.0
# swp_git_commit: 5bd8c717c95bebc32a1c25562763a2ad57f6c3f4
# swp_git_branch: review-followup
# swp_git_dirty: 74 modified: README.md, configs/passive.yaml, docs/HANDOFF.md, docs/low_snr_extraction_sweep.md, docs/passive_search.md, docs/phantom_parameter_sweep.md, scripts/ablation.py -> scripts/archive/ablation.py, scripts/aperture_trend.py -> scripts/archive/aperture_trend.py, scripts/caenen_analyze.py -> scripts/archive/caenen_analyze.py, scripts/caenen_methods.py -> scripts/archive/caenen_methods.py, ... (+64)
# swp_git_diff_sha256: 2f9cb856595bcc6bcd6f42b62dd2ad25a6f44ed9daddf4184fd1289bb04aeb10
# zea_version: 0.1.1
# zea_source: D:/Luuk van Knippenberg/Github/zea
# zea_git_commit: 8c2699fd32b969582049d0f704ac3edb862910be
# zea_git_branch: verasonics-multibuffer-clean
# zea_git_dirty: 
# numpy: 2.5.0
# scipy: 1.18.0
# python: 3.12.13
# host: EEMATLAB-OP02
# created_utc: 2026-09-24T09:21:03+00:00
# keras_backend: torch
# command: push_gap_check.py
# config_sha256: a2cdc255d759253352c4c4ba8cdd70f54ca41625dc17f11aac272b9a0851d3f2
folder,meas,n_px,dt_measured_us,dt_old_us,dt_new_us,calib_measured_us,calib_true_us,sdv,svv,sdv_cal,svv_cal,pri_us,fe_dv_1,fe_vv_1,fe_dv_2,fe_vv_2,fe_dv_3,fe_vv_3,fe_dv_4,fe_vv_4,fe_dv_5,fe_vv_5,fe_dv_6,fe_vv_6,fe_dv_7,fe_vv_7,fe_dv_8,fe_vv_8
Luuk30V_SW_data_04-August-2026_13-35-06,0,1603,1620.526500476342,540.0,1510.0,1572.3759212602656,1620.0,0.00037741887984601877,0.23289892496980408,0.0003656450795377589,0.23254304177126608,270.0,4.665442339517065e-05,0.02912297069367132,4.368431385595005e-05,0.02912297069367132,5.878272125731673e-05,0.02912297069367132,5.7468960982512315e-05,0.02912297069367132,7.280770634996262e-05,0.02912297069367132,7.150005259936561e-05,0.02912297069367132,8.818226515918412e-05,0.02912297069367132,8.413698480285097e-05,0.02912297069367132
Luuk30V_SW_data_04-August-2026_13-35-06,1,1239,-2297.7448758126866,540.0,1510.0,1366.0156568237223,1620.0,-0.00028684233548143933,0.12483645965263501,0.00022439088007740257,0.16426669705906535,270.0,-8.017003804176058e-06,0.0778674609916561,5.7137354076314376e-05,0.0778674609916561,7.454079582309734e-05,0.0778674609916561,7.956751326337354e-05,0.0778674609916561,3.8768009595293254e-05,0.0778674609916561,2.375197303195506e-05,0.0778674609916561,-5.554343987393282e-06,0.0778674609916561,-3.0977865708436156e-05,0.0778674609916561
Luuk30V_SW_data_04-August-2026_13-35-06,2,811,88.0019776516995,540.0,1510.0,1772.4704186644844,1620.0,5.152035279271663e-05,0.5854453975639906,0.000996163074416828,0.5620195767032399,270.0,-2.8499397600000307e-05,0.1619900714585611,-4.440274803469896e-05,0.1619900714585611,8.945896871324518e-06,0.1619900714585611,-4.4772368892907267e-07,0.1619900714585611,3.5659463217283926e-05,0.1619900714585611,3.599462001213218e-05,0.1619900714585611,4.018520803213096e-05,0.1619900714585611,5.702932031452057e-05,0.1619900714585611
Luuk30V_SW_data_04-August-2026_13-35-06,3,1090,1758.254332302661,540.0,1510.0,1149.5245341884527,1620.0,0.0004418350810201214,0.25129190521685296,0.000287492589146164,0.2500969579993606,270.0,0.0003650360717907343,0.23265509085878627,0.0004889149350031698,0.23265509085878627,0.0001396469491452426,0.23265509085878627,0.0001879340898865316,0.23265509085878627,6.241949802567114e-05,0.23265509085878627,1.7572586996295186e-06,0.23265509085878627,-1.3103926952896297e-05,0.23265509085878627,-5.469475141806182e-05,0.23265509085878627
Luuk30V_SW_data_04-August-2026_13-35-06,4,370,1119.6225354117523,540.0,1510.0,2083.520983554118,1620.0,0.0003573803481345321,0.3191971730035801,0.0005993368912375174,0.28765579803048336,270.0,2.3544385112336962e-05,0.06062919672298544,-1.5218142813152301e-05,0.06062919672298544,1.77991523559767e-05,0.06062919672298544,-5.702404437925881e-06,0.06062919672298544,-4.4143276798748656e-05,0.06062919672298544,3.118198573748684e-05,0.06062919672298544,-3.8534266771534714e-05,0.06062919672298544,3.0816218881251216e-05,0.06062919672298544
Luuk30V_SW_data_04-August-2026_13-35-06,5,1176,2329.4091879859716,540.0,1510.0,1517.822978325551,1620.0,0.00025691771670827287,0.11029308119558258,0.00018791365795724698,0.12380472600602718,270.0,0.0001743884849076299,0.04033531644743749,0.0001769796605944104,0.04033531644743749,0.0001980142936785363,0.04033531644743749,0.00019982270261336967,0.04033531644743749,0.00019761389567422903,0.04033531644743749,0.00021352080635364697,0.04033531644743749,0.00014315149418851997,0.04033531644743749,0.00015524655563744312,0.04033531644743749
Luuk30V_SW_data_04-August-2026_13-35-06,6,558,-335.4548891527722,540.0,1510.0,1713.7903055553224,1620.0,-0.00014414012210030107,0.4296855605960689,0.000685008786719112,0.399703968740299,270.0,-4.024863001144125e-05,0.09699413796562427,-3.3913252663139656e-05,0.09699413796562427,-2.850407789628446e-06,0.09699413796562427,1.0416942610266485e-05,0.09699413796562427,1.935372874125191e-05,0.09699413796562427,2.095579288107121e-05,0.09699413796562427,2.2706892112312858e-05,0.09699413796562427,3.0455756446816e-05,0.09699413796562427
Luuk30V_SW_data_04-August-2026_13-35-06,7,206,3333.4603100156537,540.0,1510.0,1601.9922962935002,1620.0,1.037227447482046e-05,0.003111563813631173,4.7196182023528064e-06,0.002946092945186128,270.0,5.619477176862153e-07,0.00027071088579461264,6.769680056159195e-07,0.00027071088579461264,7.05311499607297e-07,0.00027071088579461264,7.574439953518638e-07,0.00027071088579461264,7.91182878473614e-07,0.00027071088579461264,8.319633505662206e-07,0.00027071088579461264,8.616743456014106e-07,0.00027071088579461264,9.07442462893649e-07,0.00027071088579461264
Luuk30V_SW_data_04-August-2026_13-35-06,8,1537,4061.525407419325,540.0,1510.0,1578.7667911929962,1620.0,0.0005320193673296527,0.1309900379689353,0.00020169556810890605,0.12775513725905943,270.0,1.2422663241778498e-05,0.004128214502949093,1.2888896109437384e-05,0.004128214502949093,1.538512682570642e-05,0.004128214502949093,1.4377695683308268e-05,0.004128214502949093,1.7289204849176277e-05,0.004128214502949093,1.5844832352111554e-05,0.004128214502949093,1.8732751171679915e-05,0.004128214502949093,1.742563302753212e-05,0.004128214502949093
Luuk30V_SW_data_04-August-2026_13-35-06,9,1557,3986.8450956583,540.0,1510.0,1593.0712610292107,1620.0,0.0003882518435033396,0.09738322763684708,0.00015686547942748706,0.09846733367479332,270.0,7.091683813526408e-06,0.0031366666529890844,7.550395792241981e-06,0.0031366666529890844,7.897389926990887e-06,0.0031366666529890844,8.49916760400428e-06,0.0031366666529890844,8.564296982099982e-06,0.0031366666529890844,9.209934117612183e-06,0.0031366666529890844,9.457231440081294e-06,0.0031366666529890844,1.009247200343516e-05,0.0031366666529890844
Luuk30V_SW_data_04-August-2026_13-35-06,10,192,2729.9015813886044,540.0,1510.0,1516.8999133885354,1620.0,8.208335694349615e-06,0.0030068247699150848,3.3016442736191636e-06,0.0021765735790990766,270.0,-5.190450759349563e-07,0.0009963568094784618,-2.6089400682469624e-08,0.0009963568094784618,2.4228944291815054e-07,0.0009963568094784618,4.7393897039507384e-07,0.0009963568094784618,8.096117618165468e-07,0.0009963568094784618,3.9985875863678743e-07,0.0009963568094784618,7.954745824342153e-08,0.0009963568094784618,1.831018785166428e-07,0.0009963568094784618
Luuk30V_SW_data_04-August-2026_13-35-06,11,1554,600.4067844141454,540.0,1510.0,1478.2027179498139,1620.0,0.00018834489423867102,0.313695479677917,0.00044653031915724257,0.30207651070791947,270.0,-0.00016714825689509417,0.13295154452485655,-5.299147542947523e-05,0.13295154452485655,-0.000197940135098881,0.13295154452485655,-0.00025024612583587436,0.13295154452485655,-0.0002078502699090105,0.13295154452485655,-0.0002565801160262574,0.13295154452485655,-0.00016690489346368287,0.13295154452485655,-0.00023216581437951873,0.13295154452485655
Luuk30V_SW_data_04-August-2026_13-35-06,12,1332,-714.7060748105387,540.0,1510.0,1469.1083242798459,1620.0,-0.0003636552515322358,0.5088179103957345,0.0007580952430326912,0.516024060652102,270.0,-0.00029922777842769096,0.17266463633686646,-0.00022973583175110628,0.17266463633686646,-0.00033647661027626154,0.17266463633686646,-0.0003708165932007996,0.17266463633686646,-0.0003100268420915532,0.17266463633686646,-0.000383731074883085,0.17266463633686646,-0.0002726884844099122,0.17266463633686646,-0.0003376096464152097,0.17266463633686646
Luuk30V_SW_data_04-August-2026_13-35-06,13,430,1497.537002751719,540.0,1510.0,2134.822335387982,1620.0,0.0005006652855674938,0.3343258194271815,0.0006100353714993385,0.2857546323115787,270.0,5.0149878547274776e-05,0.08960531823653604,-5.855805467768496e-05,0.08960531823653604,4.1643029590380514e-05,0.08960531823653604,-5.229613600673363e-06,0.08960531823653604,2.9032602634202397e-05,0.08960531823653604,9.979165553523419e-06,0.08960531823653604,8.609478283646466e-06,0.08960531823653604,2.882477483171789e-05,0.08960531823653604
Luuk30V_SW_data_04-August-2026_13-35-06,14,452,1771.407225941313,540.0,1510.0,2315.8203555397363,1620.0,0.0005275506459244627,0.29781443713154443,0.0005513990067322018,0.23810094138484678,270.0,9.097730706901932e-05,0.1151908593740034,-2.531472011597743e-05,0.1151908593740034,7.378402605339079e-05,0.1151908593740034,4.7210244579743745e-06,0.1151908593740034,-2.4902981228224567e-05,0.1151908593740034,1.768996953859428e-05,0.1151908593740034,-6.939443401001092e-05,0.1151908593740034,3.540451298079784e-05,0.1151908593740034
