# swp_version: 0.1.0
# swp_git_commit: ec851caf33f9a4502c4de0590c177ca6098e638b
# swp_git_branch: main
# swp_git_dirty: 9 modified: .gitignore, configs/passive.yaml, docs/TODO.md, docs/review_followup_2026-09-24.md, report/README.md, study/analysis/field_stage4.py, study/analysis/manual_slope.py, study/analysis/passive_methods_atlas.py, study/analysis/score_panels.py
# swp_git_diff_sha256: 0e27e4212c1e2699007754a9fd030906bb557b7b5446f98bdb684fd939e3f673
# zea_version: 0.1.1
# zea_source: D:/Luuk van Knippenberg/Github/zea
# zea_git_commit: 8c2699fd32b969582049d0f704ac3edb862910be
# zea_git_branch: verasonics-multibuffer-clean
# zea_git_dirty: 
# numpy: 2.5.0
# scipy: 1.18.0
# python: 3.12.13
# host: EEMATLAB-OP02
# created_utc: 2026-09-24T14:49:22+00:00
# keras_backend: torch
# command: map_mlines_b3_to_b4.py
# config_sha256: a66799dbb68a94c0509d0dce137fbb233d7659b8d4aaefe4c03109e25e05e05b
subject,window,event,dx_mm,dz_mm,shift_mm,corr_before,corr_after,spread_mm,agree,spread_rms_mm,reliable,known_err_mm,known_err_rot_mm,rot_angle_deg,rot_corr,rot_spread_mm,rot_effect_mm,b1_shift_mm,b1_spread_mm,dist_b1_b3_mm,overlap_raw,dist_mapped_mm,overlap_mapped,coh_b1,coh_b3,coh_b3to4,coh_b1to4
C000000002,0,MVC,4.4521999999999995,-4.0976,6.050819002416119,0.18131535794598663,0.31856624088991276,0.97549817016743,0.5555555555555556,5.689356361956365,False,10.958529078758701,9.779134768840866,-9.75,0.584213770147814,0.6136997006293406,10.303048383669928,0.11820000000000164,0.0557200143574982,9.266331186143901,0.26,5.0298747994561115,0.424,0.7641081296451592,0.6215643289483187,0.7590175150016361,0.7650092764682996
C000000003,1,AVC,-1.4578000000000007,-1.6547999999999945,2.2053443903390653,0.47171096066702983,0.5699821385808844,0.636526480203293,0.6666666666666666,1.6527662105290846,False,2.5688866382150906,0.43567257002421705,0.0,0.5699821385808844,1.0744538052693284,0.4983749592425367,1.0897501548520172,0.33663374756551123,1.607972268180186,0.796,1.5849878384131812,0.788,0.9284642159176255,0.9247149201026201,0.9240966552598947,0.9359935083094867
C000000004,1,AVC,0.3152000000000008,0.7092000000000027,0.7760899947815358,0.7577545783419541,0.7635095968386504,0.31519999999999726,1.0,0.43379779723840134,True,0.4169911270039206,0.8158149743883392,0.0,0.7635095968386504,0.31519999999999726,0.0,1.3930003589374964,0.5962301904466105,1.9471829642043605,0.556,2.6266673375776053,0.556,0.9702512307802984,0.9496352188879825,0.9486333922927597,0.9698367011425266
C000000008,2,AVC,1.2607999999999997,2.3245999999999967,2.644500293061051,0.48604083276520726,0.5673488474646285,0.14205872025327773,1.0,0.19257246832181318,True,0.24638029547835152,0.5609485526892344,-5.0,0.580166765601258,1.001776116114132,0.9608322329982358,0.7527359430769867,0.6698000000000004,1.7193337880340973,0.416,4.085192513481985,0.416,0.9181535806872456,0.9111177432411611,0.9038939978039663,0.9149180015738707
C000000018,0,MVC,6.0282,0.19700000000000273,6.0314180952741125,0.13616660542064513,0.62761787444594,0.39399999999999835,0.8888888888888888,0.5544071428111292,True,0.38146244900383186,0.5461484456708704,-9.25,0.732677525511863,0.22973950465690726,1.463745081653262,1.2365575603262466,0.4405053915674599,7.370089989710257,0.668,2.678901692093466,0.532,0.9478586676875155,0.906948907445127,0.9449866107382036,0.9450963377188314
C000000019,1,AVC,-4.688600000000001,2.3245999999999967,5.233233715400067,0.36986218666457105,0.6487026637277079,0.435187224077177,0.6666666666666666,1.592873559884079,False,1.9699823857080565,0.8413226118932139,-5.0,0.6821941030152718,0.19699999999999918,1.263555030840783,0.7014970563017351,0.1576000000000004,2.4514138533183085,0.588,0.539568028589252,0.604,0.9239463239103852,0.9054664231941263,0.910004439301653,0.9155055194287404
C000000020,1,AVC,4.2158,-1.4184000000000054,4.448013961309026,0.36632021654955094,0.6109738980772537,9.864084661600039,0.0,9.839172181980894,False,9.671231840877354,0.5694710426981708,-9.25,0.6293142791142232,3.871037468173099,5.22624322381824,0.8122518082466749,0.23966084369374968,1.834374235073205,0.5,1.7257386123062974,0.496,0.8912403217134907,0.8637330968167677,0.8634992524987295,0.9032856890327616
C000000022,1,AVC,-4.018800000000001,1.4971999999999994,4.288631632583988,0.16468199988443485,0.3899741476313796,0.47279999999999944,0.7777777777777778,1.680656199888074,False,4.414192140131644,3.8843521849253615,10.0,0.4677022372123878,0.20090136883555676,2.4292050655552595,2.9070685991218026,0.23966084369374968,3.754681093332003,0.7,2.8490222941073235,0.7,0.88254825362228,0.8627660443530939,0.8899195273051226,0.8737368934519208
C000000027,0,MVC,-0.3545999999999996,-2.206400000000002,2.2347129838079898,0.6583103807565507,0.7677157267416681,0.39400000000000013,1.0,0.3606289937194615,True,0.3791625508934143,0.5402305825730409,0.0,0.7677157267416681,0.3405993250586113,0.07880000000000109,0.8748219704602767,0.07879999999999932,0.4346819191847144,0.42,2.039027670033576,0.396,0.8676137072854144,0.9146883078892597,0.9245979886071388,0.8668343869385535
C000000029,1,AVC,-3.2308,-0.5910000000000011,3.2844100901075066,0.4425658248061155,0.8111986659957806,0.11144002871500072,1.0,0.12249957823056755,True,0.22298950647956706,0.2936148027918354,0.0,0.8111986659957806,0.10363161946554686,0.0,0.2643032349404788,0.039400000000000546,2.234216496788777,0.084,0.4927156517620338,0.212,0.8536414371547851,0.8337334016824915,0.839829737201294,0.854949292569132
C000000037,1,MVC,-0.23639999999999972,-0.3546000000000049,0.4261761607598475,0.8683164913655048,0.8649015111566112,0.25228309495485496,0.6666666666666666,2.912255589363298,True,0.20571125394591572,0.4731012715277462,0.0,0.8649015111566112,0.25228309495485496,0.0,1.1150965698090902,0.039400000000000546,0.9009812481288746,0.564,0.4469919444556996,0.564,0.8876889383922912,0.8410180232993537,0.8552306958212254,0.8668729611450209
C000000039,0,MVC,-0.4334000000000007,3.8611999999999966,3.885447335893253,0.23847091715482943,0.7115931557265399,1.0608774670054935,0.4444444444444444,2.4413874051903823,False,1.1375377795923955,1.927704077462399,0.0,0.7298980090732995,1.0608774670054935,0.0,6.045685751012866,0.6001229207420777,1.1454831142188997,0.472,1.8458891497694718,0.328,0.8217340280684854,0.8491168655521704,0.8135441315261394,0.77691190225266
C000000040,2,MVC,4.688600000000001,-0.5122,4.716494333718637,0.433140244138069,0.7560330410352595,0.16245036164933463,0.6666666666666666,3.620157534325452,True,0.36401076907146657,0.42438919812712905,0.0,0.7560330410352595,0.16245036164933463,0.0,1.064529379585178,0.3632500516173396,2.540954393275131,0.48,0.5429357084480269,0.512,0.9120086061508579,0.92123606847404,0.9214570629016762,0.8748979936541702
C000000042,0,MVC,0.7091999999999992,-2.482199999999999,2.5815269667388705,0.6037310656499604,0.7159932620969244,3.790804204914834,0.3333333333333333,5.233826951667393,False,0.9347004867870761,0.5000806490091172,2.0,0.7185845951568177,2.7910686985431643,0.2567255371471226,1.0608774670054961,0.37169885660302837,1.5925854809365594,0.692,1.7771889651419834,0.672,0.8275664105796753,0.7665865128607598,0.7958295494031247,0.8326096328436461
C000000045,0,MVC,0.5516000000000005,-0.8667999999999978,1.0274262990599359,0.8292820523507982,0.8455907611198631,0.2121754934011003,1.0,0.3939999999999995,False,5.844551736446518,0.8326173853226788,0.0,0.8455907611198631,0.2121754934011003,0.0,0.9731082159760018,0.3546,0.61759256290339,0.316,1.3310650477664803,0.328,0.8955666393546295,0.8630185244258459,0.8834055801912227,0.891412473405822
